win_id,archetype,roi_id,rater,method,n_manual,n_obj,n_obj_unkept,n_obj_in_excl,tp,tp_points,recall,precision,ghost_frac,density_obj_net,median_cost_um,frac_inside_mask
A5_w1,A5,r1,Luca,stardist_he,104,94,0,0,73,74,0.7115384615384616,0.776595744680851,0.22340425531914898,1505.08996483313,0.0,1.0
A5_w1,A5,r1,Luca,spaceranger,104,72,0,0,60,61,0.5865384615384616,0.8333333333333334,0.16666666666666663,1152.8348666806953,0.0,1.0
A5_w2,A5,r2,Luca,cellpose_rgb,50,50,0,0,45,45,0.9,0.9,0.09999999999999998,800.5797685282606,0.0,1.0
A5_w2,A5,r2,Luca,stardist_he,50,62,0,0,43,43,0.86,0.6935483870967742,0.30645161290322576,992.7189129750432,0.0,1.0
A5_w2,A5,r2,Luca,spaceranger,50,37,0,0,27,27,0.54,0.7297297297297297,0.2702702702702703,592.4290287109129,0.0,1.0
A5_w3,A5,r3,Luca,cellpose_rgb,58,42,0,0,34,34,0.5862068965517241,0.8095238095238095,0.19047619047619047,672.4870055637389,0.0,1.0
A5_w3,A5,r3,Luca,stardist_he,58,45,0,0,23,23,0.39655172413793105,0.5111111111111111,0.48888888888888893,720.5217916754345,0.0,1.0
A5_w3,A5,r3,Luca,spaceranger,58,11,0,0,5,5,0.08620689655172414,0.45454545454545453,0.5454545454545454,176.12754907621735,0.0,1.0
A5_w4,A5,r5,Luca,cellpose_rgb,84,84,0,0,76,76,0.9047619047619048,0.9047619047619048,0.09523809523809523,1344.9740111274778,0.0,1.0
A5_w4,A5,r5,Luca,stardist_he,84,106,0,0,71,71,0.8452380952380952,0.6698113207547169,0.33018867924528306,1697.2291092799126,0.0,1.0
A5_w4,A5,r5,Luca,spaceranger,84,82,0,0,60,60,0.7142857142857143,0.7317073170731707,0.2682926829268293,1312.9508203863475,0.0,1.0
A6_w1,A6,r2,Luca,cellpose_rgb,51,29,0,0,23,23,0.45098039215686275,0.7931034482758621,0.2068965517241379,464.03773528836984,0.0,0.9565217391304348
A6_w1,A6,r2,Luca,stardist_he,51,47,0,0,40,40,0.7843137254901961,0.851063829787234,0.14893617021276595,752.061157191496,0.0,0.975
A6_w1,A6,r2,Luca,spaceranger,51,58,0,0,45,45,0.8823529411764706,0.7758620689655172,0.22413793103448276,928.0754705767397,0.0,0.9555555555555556
A6_w2,A6,r3,Luca,cellpose_rgb,60,11,4,3,9,9,0.15,0.8181818181818182,0.18181818181818177,178.0648266250279,0.0,1.0
A6_w2,A6,r3,Luca,stardist_he,60,47,0,9,43,43,0.7166666666666667,0.9148936170212766,0.08510638297872342,760.8224410342101,0.0,0.9767441860465116
A6_w2,A6,r3,Luca,spaceranger,60,66,1,1,55,55,0.9166666666666666,0.8333333333333334,0.16666666666666663,1068.3889597501673,0.0,0.9454545454545454
A6_w3,A6,r4,Luca,cellpose_rgb,62,21,0,2,19,22,0.3548387096774194,0.9047619047619048,0.09523809523809523,342.66715976598,0.0,0.8636363636363636
A6_w3,A6,r4,Luca,stardist_he,62,59,0,7,47,48,0.7741935483870968,0.7966101694915254,0.2033898305084746,962.73154410442,0.0,0.9375
A6_w3,A6,r4,Luca,spaceranger,62,70,0,0,57,58,0.9354838709677419,0.8142857142857143,0.18571428571428572,1142.2238658866,0.0,0.8793103448275862
A6_w4,A6,r5,Luca,cellpose_rgb,69,58,0,0,47,47,0.6811594202898551,0.8103448275862069,0.18965517241379315,976.1936777451855,0.0,0.9787234042553191
A6_w4,A6,r5,Luca,stardist_he,69,49,0,6,41,41,0.5942028985507246,0.8367346938775511,0.16326530612244894,824.7153484398981,0.0,0.9512195121951219
A6_w4,A6,r5,Luca,spaceranger,69,70,0,0,57,57,0.8260869565217391,0.8142857142857143,0.18571428571428572,1178.1647834855687,0.0,1.0
