win_id,target,x_img_px,y_img_px,x_win_px,y_win_px,x_um,y_um
A4_w4,4,102.7997612114687,219.19955833013626,65.7997612114687,182.19955833013626,306.2994396024449,277.6625157885165
A4_w4,5,187.0985651438674,155.47874262166522,150.0985651438674,118.47874262166522,329.3783472844512,260.2173474758409
A4_w4,6,133.4741245038515,187.05160461689525,96.4741245038515,150.05160461689525,314.6973143717825,268.86120875564
A4_w4,7,174.98583039251133,203.44099767905954,137.98583039251133,166.44099767905954,326.0621829492211,273.34821535361175
A4_w4,8,80.72392492197571,120.8697031413896,43.72392492197571,83.8697031413896,300.2556268321373,250.74225661015413
A4_w4,9,145.9913410816114,94.11343764434736,108.99134108161141,57.11343764434736,318.1242157316815,243.41705918722653
A4_w4,10,232.6592367449751,74.26630913565876,195.6592367449751,37.26630913565876,341.85172157639704,237.98341095928419
A5_w1,1,472.3806578643491,741.9639412017656,436.3806578643491,705.9639412017656,833.9579143913481,220.57906158736785
A5_w1,2,571.6607841269326,422.22459835505254,535.6607841269326,386.22459835505254,861.1630051592426,132.96295782451404
A5_w1,3,863.1474017146194,265.930327026006,827.1474017146194,229.930327026006,941.0371973830307,90.13464970207448
A5_w1,4,310.00040271121554,618.110705909079,274.00040271121554,582.110705909079,789.461903491131,186.64036071260082
A5_w1,5,128.82423854813615,144.1604212671161,92.82423854813615,108.1604212671161,739.8153712335153,56.76683014263203
A5_w1,6,779.0523360725294,629.2320701847113,743.0523360725294,593.2320701847113,917.9931705465406,189.68787622221217
A5_w1,7,399.2316327559104,77.79433735495931,363.2316327559104,41.79433735495931,813.9133602336037,38.58096148282983
A5_w1,8,220.51178040592816,927.6065637686481,184.51178040592816,891.6065637686481,764.9399152125293,271.4495085483665
A5_w1,9,293.6077184746404,294.1079316579749,257.6077184746404,258.1079316579749,784.9699222721915,97.85597642165442
A5_w1,10,112.9492855209234,363.71006439245764,76.9492855209234,327.71006439245764,735.4652605487331,116.92859860660694
A5_w2,1,775.3497270257177,546.7172858228706,739.3497270257177,510.7172858228706,674.1937199743961,343.8220612106729
A5_w2,2,239.34078819601658,924.6499835491895,203.34078819601658,888.6499835491895,527.3146578477348,447.3845135649933
A5_w2,3,465.98260312103315,422.5758105627933,429.98260312103315,386.5758105627933,589.4198482715221,309.8043758022334
A5_w2,4,733.3049263062444,279.25762311071196,697.3049263062444,243.25762311071196,662.6724552162711,270.5318200037883
A5_w2,5,69.36115072949023,847.497695782542,33.361150729490234,811.497695782542,480.7362373717182,426.24297123767053
A5_w2,6,226.46798534612302,599.1927781119069,190.46798534612302,563.1927781119069,523.7872069554755,358.20158090464827
A5_w2,7,575.277947186738,181.452658066058,539.277947186738,145.452658066058,619.3693443867014,243.73095812179307
A5_w2,8,849.1285222887702,115.65755318513379,813.1285222887702,79.65755318513379,694.410845973698,225.70155115232114
A5_w2,9,525.7684465910178,878.9094202833576,489.7684465910178,842.9094202833576,605.8025762097827,434.85052290375705
A5_w2,10,301.1864655282218,252.73301692563646,265.1864655282218,216.73301692563646,544.2618287344287,263.2634537555517
A5_w3,1,325.80961499677204,628.7128121933367,289.80961499677204,592.7128121933367,639.7927751798056,382.18412968683947
A5_w3,2,79.80651476530588,395.07657380604496,43.80651476530588,359.07657380604496,572.3821369894438,318.1623026478144
A5_w3,3,476.8050204267924,470.5094624967137,440.8050204267924,434.5094624967137,681.1690693576958,338.83268916894366
A5_w3,4,499.0696555498394,230.79258375009368,463.0696555498394,194.79258375009368,687.2701032930728,273.14462358722255
A5_w3,5,261.7601662193732,167.65503445772927,225.76016621937322,131.65503445772927,622.241719059932,255.84344938425892
