win_id,archetype,rater,method,n_points,n_obj,tp_obs,f1_obs,precision_obs,tp_null_mean,f1_null_mean,f1_null_sd,precision_null_mean,f1_gain
A2_w2,A2,model:deepseek_flash_nothink,stardist_he,69,88,22,0.2802547770700637,0.25,14.8,0.18853503184713377,0.04236506789379845,0.16818181818181818,0.09171974522292992
A2_w2,A2,model:deepseek_flash_nothink,spaceranger,69,139,27,0.25961538461538464,0.19424460431654678,26.4,0.2538461538461539,0.037904621816205804,0.18992805755395684,0.005769230769230749
A2_w2,A2,model:deepseek_flash_think,cellpose_rgb,200,129,74,0.44984802431610943,0.5736434108527132,59.5,0.3617021276595745,0.02532117398134776,0.46124031007751937,0.08814589665653494
A2_w2,A2,model:deepseek_flash_think,stardist_he,200,88,48,0.3333333333333333,0.5454545454545454,37.8,0.2625,0.027038781019349704,0.4295454545454545,0.0708333333333333
A2_w2,A2,model:deepseek_flash_think,spaceranger,200,139,86,0.5073746312684366,0.6187050359712231,64.15,0.3784660766961652,0.03151099773443901,0.46151079136690654,0.1289085545722714
A2_w2,A2,model:gpt6_astra,cellpose_rgb,135,129,91,0.6893939393939394,0.7054263565891473,45.95,0.3481060606060607,0.030442387894451608,0.35620155038759693,0.34128787878787875
A2_w2,A2,model:gpt6_astra,stardist_he,135,88,63,0.5650224215246636,0.7159090909090909,27.15,0.24349775784753364,0.034183818559459955,0.3085227272727273,0.32152466367713
A2_w2,A2,model:gpt6_astra,spaceranger,135,139,90,0.656934306569343,0.6474820143884892,45.45,0.33175182481751825,0.03427355143529248,0.3269784172661871,0.3251824817518248
A2_w3,A2,Luca,cellpose_rgb,127,99,86,0.7610619469026548,0.8686868686868687,35.35,0.3128318584070797,0.02702739478597425,0.3570707070707071,0.4482300884955751
A2_w3,A2,Luca,stardist_he,127,49,39,0.4431818181818182,0.7959183673469388,15.35,0.1744318181818182,0.035804472168609436,0.31326530612244896,0.26875
A2_w3,A2,Luca,spaceranger,127,116,86,0.7078189300411523,0.7413793103448276,36.75,0.30246913580246915,0.03928909840831704,0.3168103448275862,0.4053497942386831
A2_w3,A2,model:deepseek_flash_nothink,cellpose_rgb,69,99,20,0.23809523809523808,0.20202020202020202,22.3,0.2654761904761905,0.04021272798584413,0.22525252525252526,-0.027380952380952395
A2_w3,A2,model:deepseek_flash_nothink,stardist_he,69,49,7,0.11864406779661017,0.14285714285714285,9.35,0.1584745762711864,0.047419779096738245,0.19081632653061223,-0.03983050847457624
A2_w3,A2,model:deepseek_flash_nothink,spaceranger,69,116,25,0.2702702702702703,0.21551724137931033,21.9,0.23675675675675684,0.03241440940662692,0.18879310344827585,0.03351351351351345
A2_w3,A2,model:deepseek_flash_think,cellpose_rgb,100,99,42,0.4221105527638191,0.42424242424242425,29.55,0.2969849246231156,0.026299224337948793,0.2984848484848485,0.1251256281407035
A2_w3,A2,model:deepseek_flash_think,stardist_he,100,49,18,0.24161073825503357,0.3673469387755102,12.65,0.1697986577181208,0.03098171513445313,0.25816326530612244,0.07181208053691276
A2_w3,A2,model:deepseek_flash_think,spaceranger,100,116,40,0.37037037037037035,0.3448275862068966,30.85,0.2856481481481482,0.029174014359607682,0.265948275862069,0.08472222222222214
A2_w3,A2,model:gpt6_astra,cellpose_rgb,159,99,70,0.5426356589147286,0.7070707070707071,42.8,0.3317829457364341,0.029067183347678566,0.4323232323232323,0.21085271317829457
A2_w3,A2,model:gpt6_astra,stardist_he,159,49,32,0.3076923076923077,0.6530612244897959,19.45,0.18701923076923077,0.03803550097368939,0.39693877551020407,0.12067307692307694
A2_w3,A2,model:gpt6_astra,spaceranger,159,116,73,0.5309090909090909,0.6293103448275862,45.8,0.3330909090909091,0.025360866580600286,0.3948275862068965,0.19781818181818178
A2_w4,A2,Luca,cellpose_rgb,106,94,82,0.82,0.8723404255319149,25.75,0.2575,0.03960744879438715,0.27393617021276595,0.5625
A2_w4,A2,Luca,stardist_he,106,61,56,0.6706586826347305,0.9180327868852459,16.15,0.19341317365269456,0.03329147454830572,0.2647540983606557,0.47724550898203594
A2_w4,A2,Luca,spaceranger,106,110,87,0.8055555555555556,0.7909090909090909,30.25,0.2800925925925926,0.04231744865779777,0.275,0.525462962962963
A2_w4,A2,model:deepseek_flash_nothink,cellpose_rgb,123,94,34,0.31336405529953915,0.3617021276595745,29.2,0.26912442396313363,0.034312461693983935,0.31063829787234043,0.044239631336405516
A2_w4,A2,model:deepseek_flash_nothink,stardist_he,123,61,17,0.18478260869565216,0.2786885245901639,19.85,0.2157608695652174,0.03174117771836704,0.3254098360655738,-0.030978260869565233
A2_w4,A2,model:deepseek_flash_nothink,spaceranger,123,110,36,0.3090128755364807,0.32727272727272727,33.3,0.28583690987124466,0.035297656987042215,0.3027272727272727,0.023175965665236054
A2_w4,A2,model:deepseek_flash_think,cellpose_rgb,250,94,45,0.2616279069767442,0.4787234042553192,49.55,0.28808139534883725,0.027911518525767776,0.527127659574468,-0.026453488372093048
A2_w4,A2,model:deepseek_flash_think,stardist_he,250,61,32,0.2057877813504823,0.5245901639344263,31.8,0.2045016077170418,0.019987485875138333,0.521311475409836,0.0012861736334405238
A2_w4,A2,model:deepseek_flash_think,spaceranger,250,110,55,0.3055555555555556,0.5,56.45,0.31361111111111106,0.018960241051757247,0.5131818181818182,-0.008055555555555483
A2_w4,A2,model:gpt6_astra,cellpose_rgb,133,94,74,0.6519823788546255,0.7872340425531915,30.05,0.2647577092511013,0.03417718698531509,0.3196808510638298,0.3872246696035242
A2_w4,A2,model:gpt6_astra,stardist_he,133,61,51,0.5257731958762887,0.8360655737704918,20.6,0.21237113402061855,0.030824569871600108,0.3377049180327869,0.3134020618556701
A2_w4,A2,model:gpt6_astra,spaceranger,133,110,81,0.6666666666666666,0.7363636363636363,34.9,0.2872427983539095,0.02716049382716049,0.31727272727272726,0.37942386831275715
A3_w1,A3,Luca,cellpose_rgb,60,58,49,0.8305084745762712,0.8448275862068966,6.35,0.10762711864406779,0.026945954399296014,0.10948275862068965,0.7228813559322034
A3_w1,A3,Luca,stardist_he,60,38,36,0.7346938775510204,0.9473684210526315,3.7,0.07551020408163264,0.03599018793581306,0.09736842105263159,0.6591836734693878
A3_w1,A3,Luca,spaceranger,60,61,48,0.7933884297520661,0.7868852459016393,5.7,0.09421487603305785,0.029614004739122176,0.09344262295081968,0.6991735537190082
A3_w1,A3,model:deepseek_flash_nothink,cellpose_rgb,68,58,7,0.1111111111111111,0.1206896551724138,6.5,0.10317460317460317,0.029052389234481155,0.11206896551724138,0.007936507936507936
A3_w1,A3,model:deepseek_flash_nothink,stardist_he,68,38,5,0.09433962264150944,0.13157894736842105,4.95,0.09339622641509435,0.044037509498052095,0.13026315789473686,0.0009433962264150941
A3_w1,A3,model:deepseek_flash_nothink,spaceranger,68,61,7,0.10852713178294573,0.11475409836065574,6.8,0.1054263565891473,0.0341789266434862,0.11147540983606558,0.0031007751937984357
A3_w1,A3,model:deepseek_flash_think,cellpose_rgb,91,58,5,0.06711409395973154,0.08620689655172414,9.35,0.12550335570469798,0.033226560522111585,0.16120689655172413,-0.058389261744966434
A3_w1,A3,model:deepseek_flash_think,stardist_he,91,38,3,0.046511627906976744,0.07894736842105263,5.65,0.08759689922480621,0.025604875294439913,0.1486842105263158,-0.041085271317829464
A3_w1,A3,model:deepseek_flash_think,spaceranger,91,61,4,0.05263157894736842,0.06557377049180328,7.2,0.09473684210526315,0.02988899129368565,0.1180327868852459,-0.04210526315789473
A3_w1,A3,model:gpt6_astra,cellpose_rgb,83,58,49,0.6950354609929078,0.8448275862068966,7.25,0.10283687943262412,0.02867739945979536,0.125,0.5921985815602837
A3_w1,A3,model:gpt6_astra,stardist_he,83,38,38,0.628099173553719,1.0,4.8,0.07933884297520663,0.026957861868264613,0.12631578947368421,0.5487603305785124
A3_w1,A3,model:gpt6_astra,spaceranger,83,61,48,0.6666666666666666,0.7868852459016393,7.4,0.10277777777777777,0.03269056193316617,0.12131147540983607,0.5638888888888889
A3_w2,A3,Luca,cellpose_rgb,104,81,63,0.6810810810810811,0.7777777777777778,23.0,0.24864864864864863,0.034186785515333835,0.2839506172839506,0.43243243243243246
A3_w2,A3,Luca,stardist_he,104,44,28,0.3783783783783784,0.6363636363636364,10.3,0.13918918918918918,0.03312878560035477,0.2340909090909091,0.23918918918918922
A3_w2,A3,Luca,spaceranger,104,53,28,0.35668789808917195,0.5283018867924528,11.2,0.14267515923566879,0.04312435892945416,0.2113207547169811,0.21401273885350316
A3_w2,A3,model:deepseek_flash_nothink,cellpose_rgb,42,81,12,0.1951219512195122,0.14814814814814814,10.7,0.17398373983739837,0.03919340095347626,0.13209876543209875,0.02113821138211383
A3_w2,A3,model:deepseek_flash_nothink,stardist_he,42,44,4,0.09302325581395349,0.09090909090909091,4.35,0.10116279069767442,0.043054671119938645,0.09886363636363636,-0.008139534883720934
