archetype,rater,method,f1_obs,f1_null,precision_obs,precision_null,n_points,n_obj,f1_gain,CP-R2b.4
A3,model:deepseek_flash_think,cellpose_rgb,0.15619694397283532,0.13242784380305603,0.18930041152263374,0.16049382716049382,346.0,243.0,0.02376910016977929,FAIL
A3,model:deepseek_flash_think,spaceranger,0.12681159420289856,0.1072463768115942,0.16990291262135923,0.1436893203883495,346.0,206.0,0.01956521739130436,FAIL
A3,model:deepseek_flash_think,stardist_he,0.10843373493975904,0.10020080321285141,0.17763157894736842,0.16414473684210526,346.0,152.0,0.00823293172690763,FAIL
A3,model:gpt6_astra,cellpose_rgb,0.5504587155963303,0.16834862385321103,0.7407407407407407,0.22654320987654322,411.0,243.0,0.3821100917431193,PASS
A3,model:gpt6_astra,spaceranger,0.5121555915721232,0.12155591572123177,0.7669902912621359,0.1820388349514563,411.0,206.0,0.39059967585089145,PASS
A3,model:gpt6_astra,stardist_he,0.42984014209591476,0.1078152753108348,0.7960526315789473,0.19967105263157894,411.0,152.0,0.32202486678507997,PASS
A4,Luca,cellpose_rgb,0.8806366047745358,0.4908488063660478,0.9485714285714286,0.5287142857142857,404.0,350.0,0.389787798408488,PASS
A4,Luca,spaceranger,0.8989037758830695,0.5464068209500609,0.8848920863309353,0.5378896882494005,404.0,417.0,0.3524969549330086,PASS
A4,Luca,stardist_he,0.8467966573816156,0.4738161559888579,0.9681528662420382,0.5417197452229299,404.0,314.0,0.3729805013927577,PASS
A4,model:deepseek_flash_nothink,cellpose_rgb,0.6551724137931034,0.4989224137931034,0.8685714285714285,0.6614285714285715,578.0,350.0,0.15625,FAIL
A4,model:deepseek_flash_nothink,spaceranger,0.7376884422110552,0.5608040201005026,0.8800959232613909,0.6690647482014388,578.0,417.0,0.17688442211055266,FAIL
A4,model:deepseek_flash_nothink,stardist_he,0.6300448430493274,0.46928251121076237,0.8949044585987261,0.6665605095541401,578.0,314.0,0.16076233183856503,FAIL
A4,model:deepseek_flash_think,cellpose_rgb,0.5919540229885057,0.4792145593869732,0.8828571428571429,0.7147142857142857,694.0,350.0,0.11273946360153253,FAIL
A4,model:deepseek_flash_think,spaceranger,0.6696669666966697,0.5468946894689468,0.8920863309352518,0.7285371702637888,694.0,417.0,0.12277227722772288,FAIL
A4,model:deepseek_flash_think,stardist_he,0.5555555555555556,0.45654761904761904,0.89171974522293,0.7328025477707006,694.0,314.0,0.09900793650793654,FAIL
A4,model:gpt6_astra,cellpose_rgb,0.8352201257861636,0.49484276729559745,0.9485714285714286,0.5619999999999999,445.0,350.0,0.3403773584905661,PASS
A4,model:gpt6_astra,spaceranger,0.8677494199535963,0.5488399071925755,0.8968824940047961,0.5672661870503597,445.0,417.0,0.31890951276102086,PASS
A4,model:gpt6_astra,stardist_he,0.7931488801054019,0.47140974967061916,0.9585987261146497,0.5697452229299362,445.0,314.0,0.3217391304347827,PASS
A5,Luca,cellpose_rgb,0.8233151183970856,0.10109289617486339,0.8932806324110671,0.10968379446640317,296.0,253.0,0.7222222222222222,PASS
A5,Luca,spaceranger,0.6104417670682731,0.0895582329317269,0.7524752475247525,0.1103960396039604,296.0,202.0,0.5208835341365462,PASS
A5,Luca,stardist_he,0.6965174129353234,0.09038142620232173,0.6840390879478827,0.08876221498371335,296.0,307.0,0.6061359867330017,PASS
A5,model:deepseek_flash_nothink,cellpose_rgb,0.1915966386554622,0.11008403361344538,0.22529644268774704,0.12944664031620554,342.0,253.0,0.08151260504201682,FAIL
A5,model:deepseek_flash_nothink,spaceranger,0.13970588235294118,0.08529411764705883,0.18811881188118812,0.11485148514851484,342.0,202.0,0.054411764705882354,FAIL
A5,model:deepseek_flash_nothink,stardist_he,0.16640986132511557,0.10184899845916794,0.1758957654723127,0.10765472312703582,342.0,307.0,0.06456086286594763,FAIL
A5,model:deepseek_flash_think,cellpose_rgb,0.150253807106599,0.1250761421319797,0.2924901185770751,0.24347826086956523,732.0,253.0,0.02517766497461929,FAIL
A5,model:deepseek_flash_think,spaceranger,0.11134903640256959,0.10107066381156317,0.25742574257425743,0.23366336633663368,732.0,202.0,0.010278372591006418,FAIL
A5,model:deepseek_flash_think,stardist_he,0.1424446583253128,0.12348411934552456,0.24104234527687296,0.20895765472312705,732.0,307.0,0.01896053897978825,FAIL
A5,model:gpt6_astra,cellpose_rgb,0.6409495548961425,0.11498516320474778,0.8537549407114624,0.15316205533596838,421.0,253.0,0.5259643916913948,PASS
A5,model:gpt6_astra,spaceranger,0.5906902086677368,0.09085072231139647,0.9108910891089109,0.1400990099009901,421.0,202.0,0.49983948635634035,PASS
A5,model:gpt6_astra,stardist_he,0.695054945054945,0.10631868131868133,0.8241042345276873,0.12605863192182412,421.0,307.0,0.5887362637362636,PASS
A6,Luca,cellpose_rgb,0.5429362880886427,0.027977839335180055,0.8235294117647058,0.04243697478991597,242.0,119.0,0.5149584487534626,PASS
A6,Luca,spaceranger,0.8458498023715415,0.038339920948616595,0.8106060606060606,0.03674242424242424,242.0,264.0,0.8075098814229249,PASS
A6,Luca,stardist_he,0.7702702702702703,0.03333333333333333,0.8465346534653465,0.03663366336633664,242.0,202.0,0.736936936936937,PASS
A6,model:deepseek_flash_nothink,cellpose_rgb,0.05,0.025,0.08064516129032258,0.04032258064516129,276.0,124.0,0.025,FAIL
A6,model:deepseek_flash_nothink,spaceranger,0.07024029574861368,0.031977818853974126,0.07169811320754717,0.03264150943396227,276.0,265.0,0.038262476894639554,FAIL
A6,model:deepseek_flash_nothink,stardist_he,0.06,0.032799999999999996,0.06696428571428571,0.03660714285714285,276.0,224.0,0.027200000000000002,FAIL
A6,model:deepseek_flash_think,cellpose_rgb,0.02622950819672131,0.03836065573770492,0.07920792079207921,0.11584158415841583,509.0,101.0,-0.012131147540983607,FAIL
A6,model:deepseek_flash_think,spaceranger,0.036931818181818184,0.05539772727272727,0.06666666666666667,0.1,509.0,195.0,-0.01846590909090909,FAIL
A6,model:deepseek_flash_think,stardist_he,0.029985007496251874,0.04542728635682158,0.06329113924050633,0.09588607594936709,509.0,158.0,-0.01544227886056971,FAIL
A6,model:gpt6_astra,cellpose_rgb,0.4460093896713615,0.028638497652582157,0.7661290322580645,0.04919354838709677,302.0,124.0,0.41737089201877936,PASS
