"archetype","roi_id","n","n_keep","n_lost_window","intensity_per_mm2","r_inhib_um","g_at_3um","g_at_5um","g_at_10um","g_at_30um","frac_r_below_lo_lt5","nn_median_um","nn_median_csr_um","clark_evans_R","dip_stat","dip_p"
"A4","p1",25529,25529,0,25548.5275589077,5,0.129041794002406,1.30639600710696,1.03028767388598,1.01432470844658,0.9,4.8518256416439,3.12814637395469,1.55102257427618,0.00583649966704532,8.28208749925619e-06
"A4","p2",24254,24254,0,24366.5935040258,5,0.159343667357536,1.32611490031394,1.06563821361223,1.03537085145173,0.9,4.81972644796263,3.20311547198641,1.50469956207157,0.00574184777909228,1.95569260220685e-05
"A4","p3",25156,25156,0,25150.9600382618,5,0.134249264323877,1.29664096561777,1.03920989883285,1.01624433740855,0.9,4.85665000141266,3.15277313156232,1.54043751286538,0.00568452854189855,1.68824895397934e-05
"A5","r1",1267,1267,0,1698.52391824846,0.5,0.660904577953534,1.0106457561428,1.4378420072215,1.2699051449238,0.6,13.7280939814045,12.1320494240915,1.13155605467149,0.0211612885562457,0.000488371732360493
"A5","r2",777,777,0,924.886345986257,13.5,0.0193507128857746,0.105580489692311,0.627339741697601,1.072988216429,1,17.9899888848203,16.4409088022525,1.0942210738591,0.00612113539461506,0.999943841123344
"A5","r3",645,645,0,826.345786557116,11.5,0.00251069366133423,0.0644201329164252,0.658649021304727,1.11503628728841,1,18.4404636303898,17.3935846779433,1.06018764802256,0.00885508790824562,0.991992996483889
"A5","r4",524,524,0,700.320013112145,11.5,0.0218225194955825,0.132938685935621,0.65767724209602,1.2396962684277,1,19.185276780138,18.8939053600478,1.01542145017336,0.0139443895542451,0.753819762453403
"A5","r5",929,929,0,1068.95905375581,9,0.164397126151954,0.312480620249267,0.990680422249523,1.14906909875089,1,15.9024410597646,15.2928866421005,1.03985868933247,0.00726393054153019,0.992700967382743
"A6","r1",669,669,0,724.253884998178,0.5,0.683822187368567,0.914423010158505,1.31116724015135,1.24548628937333,0,17.219945033364,18.5790963768982,0.926845131971855,0.00770380569586464,0.995722739263465
"A6","r2",539,539,0,598.875408551775,0.5,0.770063877841483,0.9866777289568,1.59270604897692,1.47053157353683,0,16.1985506442511,20.4315711456291,0.792819628446264,0.0126665381489249,0.863993400967737
"A6","r3",296,296,0,306.401531407817,0.5,1.32188972640703,1.92604804750337,2.84584900970337,2.05429920195519,0,17.0662996103987,28.5643626729752,0.597468244111923,0.0415492261836404,0.000859038182538852
"A6","r4",614,614,0,658.821592898685,0.5,0.84584960020758,1.1087784362597,1.63637748753371,1.59689661974145,0,14.9026743729685,19.479871690953,0.765029390819329,0.00930555691017065,0.991146297298235
"A6","r5",573,573,0,630.024520692372,0.5,0.891617200360036,1.15275078171456,1.58997494223393,1.60605002856243,0,14.7679908825546,19.9200891638069,0.741361685739178,0.0122236047949639,0.870682752811353
