tp,n_a,n_b,precision_b_vs_a,recall_b_vs_a,f1_iou05,dice_binary,median_iou_matched,archetype,roi_id,method_a,method_b,density_a,density_b,delta_density_rel
3155,5424,3464,0.910796766743649,0.5816740412979351,0.70994599459946,0.6720914488442695,0.8398791540785498,A2,r3,cellpose_rgb,stardist_he,7900.690293622618,5059.713658182427,-0.35958587539286374
4128,5424,6370,0.6480376766091052,0.7610619469026548,0.70001695777514,0.7255148648568761,0.6672220505803945,A2,r3,cellpose_rgb,spaceranger,7900.690293622618,9276.628592123729,0.1741541874653356
3139,3464,6370,0.49277864992150705,0.9061778290993071,0.6383973967866585,0.6036454668082225,0.6771084337349398,A2,r3,stardist_he,spaceranger,5059.713658182427,9276.628592123729,0.8334295612009239
4544,5424,5488,0.8279883381924198,0.8377581120943953,0.8328445747800587,0.8073113405981986,0.8217672220394245,A2,r3,cellpose_rgb,cellpose_hed,7900.690293622618,8005.85755210678,0.013311148086522515
3491,7468,3822,0.913396127681842,0.46746116764863416,0.6184233835252436,0.6017630265323882,0.8425287356321839,A2,r4,cellpose_rgb,stardist_he,7687.357437748974,3935.844625194451,-0.4880107166778299
4839,7468,6778,0.7139274122159929,0.6479646491697911,0.6793485890776358,0.6835581904935081,0.6784232365145229,A2,r4,cellpose_rgb,spaceranger,7687.357437748974,6971.6557071079105,-0.09310113864701945
3389,3822,6778,0.5,0.8867085295656725,0.639433962264151,0.6099533893983837,0.697594501718213,A2,r4,stardist_he,spaceranger,3935.844625194451,6971.6557071079105,0.7713239141810571
5362,7468,6370,0.8417582417582418,0.7179967862881629,0.7749674808498338,0.7516943255176818,0.794465862794958,A2,r4,cellpose_rgb,cellpose_hed,7687.357437748974,6558.711255327959,-0.1468184862692565
3188,6463,3429,0.9297171186934966,0.4932693795451029,0.644561261625556,0.6046588627183497,0.8558940296228432,A2,r5,cellpose_rgb,stardist_he,6622.8097851710945,3516.0278679830435,-0.46910329874554746
4598,6463,6536,0.7034883720930233,0.7114343184279747,0.7074390337718286,0.7010287046517936,0.6785714285714286,A2,r5,cellpose_rgb,spaceranger,6622.8097851710945,6686.401887800893,0.009601982344742138
3133,3429,6536,0.4793451652386781,0.9136774569845436,0.6288008028098344,0.5949810018061242,0.6995412844036697,A2,r5,stardist_he,spaceranger,3516.0278679830435,6686.401887800893,0.9016919486581096
4865,6463,6177,0.7875991581673952,0.7527464025994121,0.7697784810126582,0.7393163770512531,0.7660668380462725,A2,r5,cellpose_rgb,cellpose_hed,6622.8097851710945,6331.516927963631,-0.0439832739662382
2307,4175,2539,0.9086254430878299,0.5525748502994012,0.6872207327971404,0.6257986543091146,0.8473389355742297,A3,r1,cellpose_rgb,stardist_he,4178.945036129811,2547.5009475951,-0.3903961584633853
3127,4175,5187,0.6028532870638134,0.7489820359281437,0.6680196539201025,0.6927011854422735,0.6755218216318786,A3,r1,cellpose_rgb,spaceranger,4178.945036129811,5195.336709983233,0.24321728691476605
2366,2539,5187,0.45614035087719296,0.9318629381646317,0.6124773492104582,0.5802812484937865,0.693102621163866,A3,r1,stardist_he,spaceranger,2547.5009475951,5195.336709983233,1.0393855848759355
