archetype,roi_id,method,scale,um_per_px,n_keep,n_keep_native,density_rel,area_rel
A1,r4,cellpose_rgb,4,1.0950450686126108,273,6763,0.040366701168120654,4.404494382022471
A1,r5,cellpose_rgb,4,1.0950450686126108,261,7675,0.034006514657980456,4.28415300546448
A2,r1,cellpose_rgb,4,1.0948050089757293,1493,6546,0.22807821570424686,2.0344370860927152
A2,r2,cellpose_rgb,4,1.0948050089757293,1544,6844,0.2255990648743425,2.321899736147757
A2,r3,cellpose_rgb,4,1.0948050089757293,2008,5409,0.3712331299685709,2.313253012048193
A2,r4,cellpose_rgb,4,1.0948050089757293,1826,7465,0.24460817146684527,2.1160092807424595
A2,r5,cellpose_rgb,4,1.0948050089757293,1742,6457,0.26978472975065815,1.8932714617169373
A3,r1,cellpose_rgb,4,1.0948050089757293,1775,4165,0.42617046818727494,1.7142857142857146
A3,r2,cellpose_rgb,4,1.0948050089757293,930,3126,0.29750479846449135,1.8162162162162163
A3,r3,cellpose_rgb,4,1.0948050089757293,1997,4299,0.4645266341009537,1.6076555023923444
A3,r4,cellpose_rgb,4,1.0948050089757293,2294,4824,0.47553897180762855,1.6264294790343075
A3,r5,cellpose_rgb,4,1.0948050089757293,1497,4884,0.30651105651105653,1.6643026004728132
A4,f1,cellpose_rgb,4,1.095100125051064,703,19421,0.03619793007569126,1.9692307692307693
A4,f2,cellpose_rgb,4,1.095100125051064,874,20413,0.042815852642923626,1.9470899470899472
A4,p1,cellpose_rgb,4,1.095100125051064,74,25529,0.0028986642641701593,1.5567567567567568
A4,p2,cellpose_rgb,4,1.095100125051064,177,24254,0.007297765317061103,2.0331491712707184
A4,p3,cellpose_rgb,4,1.095100125051064,2,25156,7.950389569088885e-05,1.9111111111111114
A5,r1,cellpose_rgb,4,1.0960941244550944,1140,1267,0.8997632202052092,1.9413549039433773
A5,r2,cellpose_rgb,4,1.0960941244550944,770,777,0.9909909909909911,1.6023916292974587
A5,r3,cellpose_rgb,4,1.0960941244550944,615,645,0.9534883720930232,1.3789329685362517
A5,r4,cellpose_rgb,4,1.0960941244550944,507,524,0.967557251908397,1.4375857338820301
A5,r5,cellpose_rgb,4,1.0960941244550944,907,929,0.9763186221743809,1.7004184100418411
A6,r1,cellpose_rgb,4,1.0952457168168608,308,669,0.4603886397608371,2.0334448160535117
A6,r2,cellpose_rgb,4,1.0952457168168608,45,539,0.08348794063079777,12.181069958847736
A6,r3,cellpose_rgb,4,1.0952457168168608,28,296,0.0945945945945946,7.449275362318842
A6,r4,cellpose_rgb,4,1.0952457168168608,28,614,0.04560260586319219,11.621052631578948
A6,r5,cellpose_rgb,4,1.0952457168168608,102,573,0.17801047120418848,12.84647302904564
A1,r1,stardist_he,2,0.5475225343063054,304,4656,0.06529209621993128,3.8952879581151834
A1,r2,stardist_he,2,0.5475225343063054,241,3712,0.06492456896551725,3.5126903553299496
