archetype,roi_id,method,scale,um_per_px,n_labels,n_keep,label_px_sum,tissue_frac,bubble_frac,seconds,seed,flow_threshold,cellprob_threshold
A6,r2,cellpose_rgb,1,0.2738114292042152,550,539,225927,0.9145313705284146,0.016316585669572645,6.5,0,0.4,0.0
A6,r2,cellpose_rgb,2,0.5476228584084304,322,279,151605,0.9145313705284146,0.016316585669572645,1.8,0,0.4,0.0
A6,r2,cellpose_rgb,4,1.0952457168168608,72,45,19430,0.9145313705284146,0.016316585669572645,0.5,0,0.4,0.0
A6,r3,cellpose_rgb,1,0.2738114292042152,322,296,432478,0.9812385057505737,0.01522249507839183,6.6,0,0.4,0.0
A6,r3,cellpose_rgb,2,0.5476228584084304,170,151,126924,0.9812385057505737,0.01522249507839183,1.8,0,0.4,0.0
A6,r3,cellpose_rgb,4,1.0952457168168608,40,28,8693,0.9812385057505737,0.01522249507839183,0.5,0,0.4,0.0
A6,r4,cellpose_rgb,1,0.2738114292042152,634,614,246516,0.9486245289832036,0.01792533071647338,6.5,0,0.4,0.0
A6,r4,cellpose_rgb,2,0.5476228584084304,374,368,48366,0.9486245289832036,0.01792533071647338,1.9,0,0.4,0.0
A6,r4,cellpose_rgb,4,1.0952457168168608,40,28,9940,0.9486245289832036,0.01792533071647338,0.5,0,0.4,0.0
A6,r5,cellpose_rgb,1,0.2738114292042152,595,573,324621,0.9249924121458452,0.01744546642209583,6.5,0,0.4,0.0
A6,r5,cellpose_rgb,2,0.5476228584084304,366,337,142903,0.9249924121458452,0.01744546642209583,1.8,0,0.4,0.0
A6,r5,cellpose_rgb,4,1.0952457168168608,125,102,29758,0.9249924121458452,0.01744546642209583,0.5,0,0.4,0.0
A1,r1,stardist_he,1,0.2737612671531527,4658,4656,1014778,0.7987228209207317,0.0010419344910666333,10.2,0,0.6924782541382084,0.3
A1,r1,stardist_he,2,0.5475225343063054,308,304,88506,0.798736517312904,0.0010425051795352274,4.3,0,0.6924782541382084,0.3
A1,r1,stardist_he,4,1.0950450686126108,86,25,49054,0.798736517312904,0.0010425051795352274,2.9,0,0.6924782541382084,0.3
A1,r2,stardist_he,1,0.2737612671531527,3715,3712,824233,0.6822033107648304,0.0,3.2,0,0.6924782541382084,0.3
A1,r2,stardist_he,2,0.5475225343063054,245,241,64756,0.6823430333901572,0.0,0.3,0,0.6924782541382084,0.3
A1,r2,stardist_he,4,1.0950450686126108,44,6,32337,0.6823430333901572,0.0,0.1,0,0.6924782541382084,0.3
A1,r3,stardist_he,1,0.2737612671531527,4442,4442,994817,0.810074166641625,0.0008189197438417843,3.2,0,0.6924782541382084,0.3
A1,r3,stardist_he,2,0.5475225343063054,311,311,71797,0.8101476902332021,0.0008193682826496667,0.3,0,0.6924782541382084,0.3
A1,r3,stardist_he,4,1.0950450686126108,68,14,45981,0.8101476902332021,0.0008193682826496667,0.1,0,0.6924782541382084,0.3
A1,r4,stardist_he,1,0.2737612671531527,3387,3386,804690,0.6388902648292629,0.0,3.0,0,0.6924782541382084,0.3
A1,r4,stardist_he,2,0.5475225343063054,220,220,59473,0.6388109442649619,0.0,0.4,0,0.6924782541382084,0.3
A1,r4,stardist_he,4,1.0950450686126108,47,14,26579,0.6388109442649619,0.0,0.1,0,0.6924782541382084,0.3
A1,r5,stardist_he,1,0.2737612671531527,3969,3966,936437,0.7231059089990423,0.0,3.0,0,0.6924782541382084,0.3
A1,r5,stardist_he,2,0.5475225343063054,299,297,65731,0.7230763140183956,0.0,0.3,0,0.6924782541382084,0.3
A1,r5,stardist_he,4,1.0950450686126108,51,13,39081,0.7230763140183956,0.0,0.4,0,0.6924782541382084,0.3
A2,r1,stardist_he,1,0.2737012522439323,3872,3872,1585613,0.7443043276235055,0.0,3.4,0,0.6924782541382084,0.3
A2,r1,stardist_he,2,0.5474025044878646,610,609,144134,0.7443043276235055,0.0,0.4,0,0.6924782541382084,0.3
A2,r1,stardist_he,4,1.0948050089757293,48,9,28278,0.7442095375427829,0.0,0.1,0,0.6924782541382084,0.3
A2,r2,stardist_he,1,0.2737012522439323,3667,3667,1559116,0.8613086138141345,0.0,3.3,0,0.6924782541382084,0.3
A2,r2,stardist_he,2,0.5474025044878646,563,562,134429,0.8613086138141345,0.0,0.5,0,0.6924782541382084,0.3
A2,r2,stardist_he,4,1.0948050089757293,50,10,32458,0.8614607788917295,0.0,0.1,0,0.6924782541382084,0.3
A2,r3,stardist_he,1,0.2737012522439323,3468,3464,1592799,0.6846559648213009,0.0007717360075663683,3.4,0,0.6924782541382084,0.3
A2,r3,stardist_he,2,0.5474025044878646,671,671,160453,0.6846559648213009,0.0007717360075663683,0.4,0,0.6924782541382084,0.3
A2,r3,stardist_he,4,1.0948050089757293,40,6,26858,0.6844808288216092,0.0007725815139478556,0.1,0,0.6924782541382084,0.3
A2,r4,stardist_he,1,0.2737012522439323,3822,3822,1934494,0.9708807467145047,0.0,4.3,0,0.6924782541382084,0.3
A2,r4,stardist_he,2,0.5474025044878646,720,720,159011,0.9708807467145047,0.0,0.4,0,0.6924782541382084,0.3
A2,r4,stardist_he,4,1.0948050089757293,52,7,33846,0.9708722373312827,0.0,0.1,0,0.6924782541382084,0.3
A2,r5,stardist_he,1,0.2737012522439323,3429,3428,1705580,0.9750222368420658,0.0004697523524317024,3.3,0,0.6924782541382084,0.3
A2,r5,stardist_he,2,0.5474025044878646,590,588,128246,0.9750222368420658,0.0004697523524317024,0.4,0,0.6924782541382084,0.3
A2,r5,stardist_he,4,1.0948050089757293,28,7,17146,0.9750422580494236,0.00047026700848999903,0.1,0,0.6924782541382084,0.3
A3,r1,stardist_he,1,0.2737012522439323,2539,2539,1221159,0.9964367127041948,0.0,3.1,0,0.6924782541382084,0.3
A3,r1,stardist_he,2,0.5474025044878646,637,635,134000,0.9964367127041948,0.0,0.4,0,0.6924782541382084,0.3
A3,r1,stardist_he,4,1.0948050089757293,36,27,9296,0.9964550025252858,0.0,0.1,0,0.6924782541382084,0.3
A3,r2,stardist_he,1,0.2737012522439323,1720,1720,723740,0.9923299746639308,0.0010940915759442456,3.0,0,0.6924782541382084,0.3
A3,r2,stardist_he,2,0.5474025044878646,286,283,53383,0.9923299746639308,0.0010940915759442456,0.3,0,0.6924782541382084,0.3
A3,r2,stardist_he,4,1.0948050089757293,14,7,4768,0.9923629597549813,0.001095290251916758,0.1,0,0.6924782541382084,0.3
A3,r3,stardist_he,1,0.2737012522439323,2720,2720,1275351,0.9994547517337846,0.0,3.6,0,0.6924782541382084,0.3
A3,r3,stardist_he,2,0.5474025044878646,691,690,116977,0.9994547517337846,0.0,0.4,0,0.6924782541382084,0.3
A3,r3,stardist_he,4,1.0948050089757293,25,14,8476,0.9994541543651455,0.0,0.1,0,0.6924782541382084,0.3
A3,r4,stardist_he,1,0.2737012522439323,3433,3433,1578974,0.997742312673517,0.0,3.3,0,0.6924782541382084,0.3
A3,r4,stardist_he,2,0.5474025044878646,918,917,136656,0.997742312673517,0.0,0.4,0,0.6924782541382084,0.3
A3,r4,stardist_he,4,1.0948050089757293,18,10,9816,0.9977398391734817,0.0,0.1,0,0.6924782541382084,0.3
A3,r5,stardist_he,1,0.2737012522439323,2617,2617,1255173,0.9914366063508241,0.0,3.6,0,0.6924782541382084,0.3
A3,r5,stardist_he,2,0.5474025044878646,502,501,96014,0.9914366063508241,0.0,0.5,0,0.6924782541382084,0.3
A3,r5,stardist_he,4,1.0948050089757293,22,7,11738,0.9914404206490405,0.0,0.1,0,0.6924782541382084,0.3
