archetype,roi_id,method,other,cls,n,frac_of_method,od_in_median,od_ring_median,od_tissue_median,frac_nuclear_evidence,area_median
A3,r3,cellpose_rgb,spaceranger,exclusive,1297,0.3010677808727948,0.02579033032995769,0.013262893138937677,0.010674953284110604,0.761757902852737,35.358641226511224
A3,r3,spaceranger,cellpose_rgb,matched,3011,0.702355959878703,0.02778395000560359,0.0095575291289134,0.010674953284110604,0.9355695782132182,32.58688333375505
A3,r3,spaceranger,cellpose_rgb,exclusive,1276,0.29764404012129697,0.02702158161101432,0.011354254230027972,0.010674953284110604,0.9067398119122257,21.050377509850964
A3,r3,stardist_he,spaceranger,matched,2443,0.8981617647058824,0.031514505222092655,0.00972577039717728,0.010674953284110604,0.95374539500614,31.01372344867722
A3,r3,stardist_he,spaceranger,exclusive,277,0.10183823529411765,0.030047598599102113,0.013507432128674892,0.010674953284110604,0.7942238267148014,40.00320850626482
A3,r3,spaceranger,stardist_he,matched,2443,0.569862374620947,0.02878703836172703,0.009346494414550592,0.010674953284110604,0.9582480556692591,34.085130843352985
A3,r3,spaceranger,stardist_he,exclusive,1844,0.4301376253790529,0.025801432067653812,0.011199041255634305,0.010674953284110604,0.8855748373101953,24.196697280006624
A3,r4,cellpose_rgb,stardist_he,matched,3187,0.6598343685300208,0.0313244277073366,0.009966159345810651,0.009753927864900617,0.9231251961091936,30.33951206935815
A3,r4,cellpose_rgb,stardist_he,exclusive,1643,0.3401656314699793,0.027269850898833863,0.01634335798501333,0.009753927864900617,0.6926354230066951,27.118279923722593
A3,r4,stardist_he,cellpose_rgb,matched,3187,0.9283425575298573,0.030716502355198797,0.010070400625588945,0.009753927864900617,0.9118293065578914,32.13740908087567
A3,r4,stardist_he,cellpose_rgb,exclusive,246,0.07165744247014273,0.029036150526884595,0.011483091165282323,0.009753927864900617,0.9105691056910569,27.043367548242696
A3,r4,cellpose_rgb,spaceranger,matched,3730,0.772256728778468,0.030847545430107603,0.010852757178538437,0.009753927864900617,0.8801608579088472,29.552932126819236
A3,r4,cellpose_rgb,spaceranger,exclusive,1100,0.2277432712215321,0.026491326578504608,0.013356501870005002,0.009753927864900617,0.7245454545454545,29.103457873939856
A3,r4,spaceranger,cellpose_rgb,matched,3730,0.7408142999006951,0.02830250814014572,0.010713403771436668,0.009753927864900617,0.8646112600536193,32.58688333375505
A3,r4,spaceranger,cellpose_rgb,exclusive,1305,0.25918570009930486,0.026467683678730047,0.01151566091115525,0.009753927864900617,0.8865900383141763,20.525990881491687
A3,r4,stardist_he,spaceranger,matched,3143,0.9155257792018643,0.030985045870917258,0.010092670728328252,0.009753927864900617,0.9175946547884187,31.68793482799629
A3,r4,stardist_he,spaceranger,exclusive,290,0.08447422079813574,0.02718111665129448,0.010368069953043475,0.009753927864900617,0.8482758620689655,36.44487067096973
A3,r4,spaceranger,stardist_he,matched,3143,0.6242303872889772,0.028465906469074938,0.009787039638755667,0.009753927864900617,0.9093223035316577,33.186182337594225
A3,r4,spaceranger,stardist_he,exclusive,1892,0.3757696127110228,0.026789284773119863,0.013190120339793467,0.009753927864900617,0.8054968287526427,24.196697280006624
A3,r5,cellpose_rgb,stardist_he,matched,2404,0.49211873080859775,0.031436057224052,0.014493070388908536,0.010218173283658528,0.8623128119800333,33.822937529173345
A3,r5,cellpose_rgb,stardist_he,exclusive,2481,0.5078812691914023,0.028660986047634722,0.020597596020388482,0.010218173283658528,0.6134623135832326,29.066001686199908
A3,r5,stardist_he,cellpose_rgb,matched,2404,0.9186090943828812,0.031092209719318503,0.01621903250103571,0.010218173283658528,0.7803660565723793,33.33600708855402
A3,r5,stardist_he,cellpose_rgb,exclusive,213,0.08139090561711884,0.03645998301389031,0.023793505820479708,0.010218173283658528,0.7370892018779343,32.43705858279526
A3,r5,cellpose_rgb,spaceranger,matched,3274,0.6702149437052201,0.030642260267550802,0.015763087739115576,0.010218173283658528,0.82376298106292,31.68793482799629
A3,r5,cellpose_rgb,spaceranger,exclusive,1611,0.32978505629477994,0.02857474079089688,0.021472885225205626,0.010218173283658528,0.5574177529484792,31.613022452516393
A3,r5,spaceranger,cellpose_rgb,matched,3274,0.7143792275801877,0.02901308491857521,0.01600831206692821,0.010218173283658528,0.7773365913255956,34.60951747171226
A3,r5,spaceranger,cellpose_rgb,exclusive,1309,0.2856207724198124,0.03102151926031282,0.019045145707849136,0.010218173283658528,0.7891520244461421,23.672310651647347
A3,r5,stardist_he,spaceranger,matched,2326,0.8888039740160489,0.031401797514117286,0.01614021992309336,0.010218173283658528,0.7987962166809974,32.73670808471484
A3,r5,stardist_he,spaceranger,exclusive,291,0.11119602598395109,0.031566543050902576,0.022838948404681376,0.010218173283658528,0.6013745704467354,41.50145601586275
A3,r5,spaceranger,stardist_he,matched,2326,0.5075278202051058,0.02955138470709613,0.014686809246399108,0.010218173283658528,0.825451418744626,35.73320310391071
A3,r5,spaceranger,stardist_he,exclusive,2257,0.49247217979489416,0.029415622350953873,0.01910853181592493,0.010218173283658528,0.7346034559149314,26.74371804632311
A4,f1,cellpose_rgb,stardist_he,matched,16619,0.8509908341440934,0.08333518065894341,0.03742059261404742,0.042589512155279036,0.9949455442565738,14.765695245356913
A4,f1,cellpose_rgb,stardist_he,exclusive,2910,0.1490091658559066,0.06634005349488231,0.03532728931326442,0.042589512155279036,0.920274914089347,11.992442838868557
A4,f1,stardist_he,cellpose_rgb,matched,16619,0.9813983701429078,0.08187611658909125,0.03714983688493631,0.042589512155279036,0.992538660569228,15.964939529243768
A4,f1,stardist_he,cellpose_rgb,exclusive,315,0.01860162985709224,0.07152286560033472,0.04063705849727224,0.042589512155279036,0.9523809523809523,15.964939529243768
A4,f1,cellpose_rgb,spaceranger,matched,15961,0.8172973526550259,0.08145685845216097,0.036551784139762164,0.042589512155279036,0.9849633481611428,15.290364619557412
A4,f1,cellpose_rgb,spaceranger,exclusive,3568,0.18270264734497413,0.08193786904648008,0.040528500847324414,0.042589512155279036,0.9786995515695067,10.718245787238773
A4,f1,spaceranger,cellpose_rgb,matched,15961,0.6700671704450042,0.0692934647166406,0.03336383467689719,0.042589512155279036,0.9632855084267903,21.061727735762904
A4,f1,spaceranger,cellpose_rgb,exclusive,7859,0.3299328295549958,0.05764213935541783,0.03196455822715772,0.042589512155279036,0.7806336684056496,15.740081226014983
