archetype,roi_id,method,scale,um_per_px,n_all,n_keep,frac_small,frac_large,frac_out_tissue,frac_bubble,tissue_frac,bubble_frac,tissue_mm2,density_per_mm2,area_median,area_q25,area_q75,area_mean,area_cv,eq_diam_median,ecc_median,ecc_q75,major_minor_median,nn_median_um,nuclear_area_fraction
A5,r4,cellpose_rgb,1,0.2740235311137736,525,524,0.0,0.0,0.0019047619047619048,0.0,0.7483612746229609,0.0,0.7482293668453108,700.3200131121449,109.4796097907213,51.43589348878196,151.6420246724017,105.92979658098122,0.5907667918797516,11.806507569438484,0.5879357232180749,0.7300714148721377,1.2362350978108991,19.18527678013796,0.07418475653055961
A5,r5,cellpose_rgb,1,0.2740235311137736,1008,929,0.07837301587301587,0.0,0.0,0.0,0.8692229820714066,0.0,0.869069770947668,1068.9590537558126,89.73123024685319,49.48358220307636,115.4867214390462,84.85206858577767,0.5367445183991075,10.688748792446635,0.5411060459573278,0.6581488146916439,1.189125164797438,15.902441059764572,0.09070338694467622
A6,r1,cellpose_rgb,1,0.2738114292042152,682,669,0.013196480938416423,0.0,0.0,0.005865102639296188,0.9362956155999084,0.012511261815158672,0.9237092321592208,724.2538849981784,22.41683693009363,14.39475816246815,34.26252333462471,26.585050020954057,0.6429267629749764,5.34247164215916,0.9201999863892992,0.9565895948490284,2.5546139896920153,17.219945033363985,0.019254325760546878
A6,r2,cellpose_rgb,1,0.2738114292042152,550,539,0.005454545454545455,0.01090909090909091,0.0,0.005454545454545455,0.9145313705284146,0.014437916957084537,0.9000202584765191,598.8754085517755,18.218365799373753,12.295522597108212,27.702412192874903,24.039947174738813,0.965787585673399,4.816258275488691,0.8963644222625404,0.9456888292485299,2.2557172678077113,16.19855064425112,0.014396933185834808
A6,r3,cellpose_rgb,1,0.2738114292042152,322,296,0.012422360248447204,0.055900621118012424,0.0,0.012422360248447204,0.9812385057505737,0.015107327647741219,0.966052612857301,306.401531407817,20.692464858547964,11.602025133551804,114.8956608540752,74.67534082924823,1.3476468583036727,5.132872302122559,0.8179471689745555,0.8965921395973591,1.738251473026841,17.06629961039868,0.02288063878848234
A6,r4,cellpose_rgb,1,0.2738114292042152,634,614,0.015772870662460567,0.011041009463722398,0.0,0.006309148264984227,0.9486245289832036,0.016581710692216242,0.9319670250917568,658.821592898685,14.244812764942441,9.52153274288258,22.62301185169148,22.577649705778775,1.7336101451472246,4.258762604286948,0.817407273666359,0.8977478432750665,1.7359336069603555,14.902674372968466,0.014874643143069704
A6,r5,cellpose_rgb,1,0.2738114292042152,595,573,0.0016806722689075631,0.023529411764705882,0.0,0.011764705882352941,0.9249924121458452,0.015430036385710121,0.9094884106578824,630.0245206923724,18.068420401848044,12.220549898345357,26.615308060813508,28.39149372522146,1.6408279426236791,4.796397332012073,0.8632167583237841,0.9314753922867128,1.9808512466561952,14.767990882554558,0.01788733722597315
A1,r1,cellpose_rgb,2,0.5475225343063054,7440,7439,0.0,0.00013440860215053763,0.0,0.0,0.798736517312904,0.000508656152040203,0.7983075405148786,9318.463903274824,15.888389055379566,11.391675171781575,22.183788492416753,17.817924005960336,0.5534516332361656,4.49774668555785,0.7690333322747219,0.8618654365543034,1.56443433050569,4.902628680713969,0.16603568168083532
A1,r2,cellpose_rgb,2,0.5475225343063054,5676,5676,0.0,0.0,0.0,0.0,0.6823430333901572,0.0,0.6824111450845273,8317.566383381589,15.888389055379566,11.091894246208376,21.884007566843554,17.81351497806158,0.6098526930031496,4.49774668555785,0.7794663079609476,0.8657490459109376,1.5963115011265758,5.041553970833003,0.14816509335138942
A1,r3,cellpose_rgb,2,0.5475225343063054,6841,6841,0.0,0.0,0.0,0.0,0.8101476902332021,0.00015595589567270375,0.810072587965033,8444.922222569137,14.989046278659968,10.492332395061977,21.584226641270355,17.20775816912871,0.5432403683283884,4.368597768146583,0.7758033086073169,0.863135965411529,1.584849291423705,5.091247206175523,0.14531817936307068
