archetype,method,scale,n_roi,n_nuclei,density_median,density_min,density_max,area_median,area_min,area_max,eq_diam_median,ecc_median,nn_median_um,nuclear_area_fraction,frac_small,frac_large
A2,cellpose_rgb,1,5,32721,7900.690293622618,6622.8097851710945,8794.073976618964,31.088635824157116,28.279421743660993,32.287233831835465,6.291524499132708,0.7927279662857891,6.3250507375015745,0.2896559627954152,0.0027124177383536126,0.0
A2,cellpose_rgb,2,5,28782,6774.286017219596,6015.607772963987,7623.948948565936,34.75934222267205,30.56424919579784,35.65829072843081,6.652591154346454,0.7925019337915643,6.685418490144832,0.27615678187393156,0.0,0.0
A2,cellpose_rgb,4,5,8613,1880.3904462598293,1786.7329480823983,2932.997986613832,65.92289042230907,57.532704368560644,71.9158804607008,9.161639099469419,0.7610060705627046,10.297431325536536,0.13642504844541656,0.0,0.0
A2,spaceranger,1,5,36222,9040.892251865796,6686.401887800893,11811.411304985322,31.538110077036496,28.391790306880836,32.06249670539577,6.336842188053399,0.7638512409917452,5.987283534131335,0.28968874029291997,0.0029051012680209615,0.0
A2,stardist_he,1,5,18253,4255.834645390484,3516.0278679830435,5201.749837682344,31.68793482799629,27.792491303041665,35.50846597747102,6.351876235727166,0.7357755435140512,7.450061102755462,0.14923415081492136,0.0,0.0
A2,stardist_he,2,5,3150,741.4463972108856,603.09929590841,980.1004228176699,50.940415326329735,49.142518314812214,56.334106360882295,8.05353035747157,0.6718226472753867,14.703668994774322,0.04906682895936913,0.0,0.0013610747410100596
A2,stardist_he,4,5,39,8.763938207013442,7.1797535227191664,12.090844147505448,209.75465134371066,176.19390712871697,289.46141885432075,16.34221272603404,0.6956704638195135,154.3564217176443,0.002163914408114545,0.0,0.8155769230769231
A3,cellpose_hed,1,5,23532,4822.2785832652,3857.5538879263895,5431.144003455518,40.153033257224614,36.781976360629265,41.38908745264291,7.150134948668068,0.8013243429796209,7.6496188666063025,0.22253147277216273,0.00048466602104081614,8.300092206024838e-05
A3,cellpose_rgb,1,5,21298,4300.450100136305,3152.604824485724,4925.13772494087,31.313372950596808,27.717578927561767,33.560744214993704,6.314223999807121,0.8136727577130176,7.838003436993248,0.16222720243749064,0.002457309872684564,0.0
A3,cellpose_rgb,2,5,19728,3995.347220270854,2867.19626232019,4680.603992645891,34.16004321883288,30.56424919579784,36.55723923418957,6.594991878393806,0.8164406049271231,8.459508233040197,0.16381590776954458,0.0,0.0
